S.No,Crime,Gender,Age,Income,Job,Maritalstatus,Education,Harm,Attack,AttackMethod
53,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,High,Justice and Security,Married,Under Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
54,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
55,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
56,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
57,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Middle,Retired,Single,High School,Fraud,Hacking Social Media Accounts,Creating a Fake Shopping Site
58,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Education,Single,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
59,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
60,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Fraud,Hacking Social Media Accounts,Creating a Fake Shopping Site
61,Misuse of Debit Cards or Credit Cards,Female,51 and Above,High,Justice and Security,Married,Under Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
62,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Retired,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
63,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
64,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Others,Married,High School,Fraud,Hacking Social Media Accounts,Creating a Fake Shopping Site
65,Misuse of Debit Cards or Credit Cards,Male,27 and Under,High,Justice and Security,Single,Under Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
66,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
67,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Low,Technical,Single,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
68,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
69,Misuse of Debit Cards or Credit Cards,Female,27 and Under,Low,Technical,Married,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware
70,Misuse of Debit Cards or Credit Cards,Female,Between 38 and 50,Low,Technical,Single,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
71,Misuse of Debit Cards or Credit Cards,Female,Between 38 and 50,Low,Technical,Single,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
72,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,High,Justice and Security,Married,Under Graduate,Fraud,Hacking Social Media Accounts,Creating a Fake Shopping Site
73,Misuse of Debit Cards or Credit Cards,Female,27 and Under,Low,Education,Single,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware
74,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
75,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
76,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Low,Student,Single,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
77,Misuse of Debit Cards or Credit Cards,Female,Between 38 and 50,Middle,Health Sector Manager,Married,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Social Engineering
78,Misuse of Debit Cards or Credit Cards,Female,27 and Under,Low,Technical,Single,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Social Engineering
79,Misuse of Debit Cards or Credit Cards,Female,51 and Above,High,Justice and Security,Married,Under Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Social Engineering
80,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Others,Married,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Social Engineering
81,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
82,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Retired,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
83,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Others,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
84,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
85,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Low,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
86,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
87,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Education,Single,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
88,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Others,Single,Under Graduate,Fraud,Hacking Social Media Accounts,Creating a Fake Shopping Site
89,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Health Sector Manager,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
90,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
91,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
92,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Others,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
93,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Low,Others,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
94,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
95,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Middle,Health Sector Manager,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
96,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,High,Technical,Single,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
97,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware
98,Misuse of Debit Cards or Credit Cards,Male,51 and Above,High,Education,Married,Graduate,Withdrawing Money by Introducing Himself as a Bank Clerk,Hacking Social Media Accounts,Creating a Fake Shopping Site
99,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Technical,Married,Primary Education,Fraud,Hacking Social Media Accounts,Creating a Fake Shopping Site
100,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Middle,Technical,Married,High School,Fraud,Hacking Social Media Accounts,Creating a Fake Shopping Site
101,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Retired,Married,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware
102,Misuse of Debit Cards or Credit Cards,Female,51 and Above,Low,Retired,Single,Primary Education,Fraud,Hacking Social Media Accounts,Creating a Fake Shopping Site
103,Misuse of Debit Cards or Credit Cards,Female,Between 38 and 50,Low,Housewife,Married,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware
104,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
105,Misuse of Debit Cards or Credit Cards,Female,Between 28 and 37,Low,Housewife,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
106,Misuse of Debit Cards or Credit Cards,Female,27 and Under,Middle,Health Sector Manager,Married,Graduate,Withdrawing Money by Introducing Himself as a Bank Clerk,Hacking Social Media Accounts,Creating a Fake Shopping Site
107,Misuse of Debit Cards or Credit Cards,Female,27 and Under,Low,Technical,Single,Primary Education,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware
108,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Middle,Health Sector Manager,Married,Graduate,Withdrawing Money by Introducing Himself as a Bank Clerk,Hacking Social Media Accounts,Creating a Fake Shopping Site
109,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Middle,Health Sector Manager,Married,Under Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices
110,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
111,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Health Sector Manager,Single,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
112,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,High,Technical,Married,Graduate,Fraud,Hacking Social Media Accounts,Creating a Fake Shopping Site
113,Misuse of Debit Cards or Credit Cards,Male,27 and Under,High,Justice and Security,Single,Under Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
114,Misuse of Debit Cards or Credit Cards,Female,Between 28 and 37,Low,Others,Single,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
115,Misuse of Debit Cards or Credit Cards,Female,Between 38 and 50,Low,Technical,Single,Primary Education,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware
116,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Middle,Health Sector Manager,Married,Graduate,Fraud,Hacking Social Media Accounts,Creating a Fake Shopping Site
117,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Middle,Justice and Security,Single,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
118,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Technical,Married,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Social Engineering
119,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Technical,Married,Primary Education,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware
120,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Low,Technical,Married,Primary Education,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Social Engineering
121,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
122,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,High,Justice and Security,Married,Under Graduate,Withdrawing Money by Introducing Himself as a Bank Clerk,Hacking Social Media Accounts,Creating a Fake Shopping Site
123,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
124,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Technical,Married,Primary Education,Fraud,Hacking Social Media Accounts,Creating a Fake Shopping Site
125,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Technical,Single,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
126,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Low,Technical,Single,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
127,Misuse of Debit Cards or Credit Cards,Female,Between 38 and 50,Low,Housewife,Single,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
128,Misuse of Debit Cards or Credit Cards,Female,27 and Under,Low,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
129,Misuse of Debit Cards or Credit Cards,Female,27 and Under,Low,Student,Single,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
130,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Health Sector Manager,Married,Under Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware
131,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Low,Others,Married,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware
132,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,High,Finance Sector,Married,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware
133,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Middle,Justice and Security,Married,Under Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware
134,Misuse of Debit Cards or Credit Cards,Female,Between 38 and 50,Low,Housewife,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
135,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Low,Student,Single,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware
136,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Retired,Married,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware
137,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Retired,Single,High School,Fraud,Hacking Social Media Accounts,Creating a Fake Shopping Site
138,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Technical,Married,High School,Fraud,Hacking Social Media Accounts,Creating a Fake Shopping Site
139,Misuse of Debit Cards or Credit Cards,Female,Between 28 and 37,Low,Housewife,Married,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware
140,Misuse of Debit Cards or Credit Cards,Female,51 and Above,Middle,Health Sector Manager,Married,Under Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
141,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Low,Technical,Single,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
142,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Retired,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
143,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Others,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
144,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Low,Student,Single,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices
145,Misuse of Debit Cards or Credit Cards,Female,Between 38 and 50,Low,Finance Sector,Single,Graduate,Fraud,Hacking Social Media Accounts,Creating a Fake Shopping Site
146,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Low,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
147,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
148,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Technical,Married,Primary Education,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Social Engineering
149,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Others,Married,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices
150,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Retired,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
151,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Middle,Others,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
152,Misuse of Debit Cards or Credit Cards,Female,Between 38 and 50,Middle,Justice and Security,Married,High School,Fraud,Hacking Social Media Accounts,Creating a Fake Shopping Site
153,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Others,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
154,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Low,Student,Single,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
155,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,High,Justice and Security,Single,Under Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
156,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
157,Misuse of Debit Cards or Credit Cards,Female,Between 28 and 37,Low,Housewife,Single,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
158,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
159,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Low,Technical,Married,Graduate,Fraud,Hacking Social Media Accounts,Creating a Fake Shopping Site
160,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Education,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
